zona,nomeZona,domicilios,familias,populacao,matriEscolar,empregos,autoParticular,viagProduz,viagAtraid,areaZona,popMasc,popFem,popTotal,renTotalZona,renMedFam,renPerCap,renMedianFam,rendF1,rendF2,rendF3,rendF4,rendF5,rendTotal,res_assCom,res_assSem,res_funPublico,res_autonomo,res_empregador,res_profLiberal,res_negFamiliar,res_trabFamiliar,res_total,emp_agro,emp_constCivil,emp_indus,emp_comercio,emp_transCarg,emp_transPass,emp_financeiro,emp_servPessoais,emp_alimenta,emp_saude,emp_educa,emp_especializ,emp_admPubli,emp_outros,emp_total,emp_foraRes,emp_dentrRes,emp_semEnd,emp_total,vp_metro,vp_trem,vp_bus,vp_fretado,vp_escolar,vp_dirigindoAuto,vp_passAuto,vp_taxiCom,vp_taxiNCom,vp_dirigindoMoto,vp_passMoto,vp_bike,vp_pe,vp_outros,vp_total,vt_coletivo,vt_individual,vt_motorizado,vt_naoMotorizado,vt_total,mo_traIndus,mo_trabCome,mo_trabServ,mo_educacao,mo_compras,mo_saude,mo_lazer,mo_procEmp,mo_assunPesso,mo_refeicao,mo_total,tmv_coletivo,tmv_individual,tmv_pe,tmv_bike,vtra_metro,vtra_trem,vtra_bus,vtra_fretado,vtra_escolar,vtra_dirigAuto,vtra_passAuto,vtra_taxiCon,vtra_taxiNCon,vtra_dirigMoto,vtra_passMoto,vtra_bike,vtra_pe,vtra_outros,vtra_total,vtra_coletivo,vtra_individual,vtra_motorizado,vtra_naoMotorizado,vtra_total,vtra_trabIndus,vtra_trabCome,vtra_trabServ,vtra_educacao,vtra_compras,vtra_saude,vtra_lazer,vtra_procEmpr,vtra_assunPesso,vtra_refeicao,vtra_total
262,Teotônio Vilela,27256,27256,85182,10306,19292,12785,114372,114352,346,40463,44719,85182,74231762,2724,871,2453,14781,57267,12259,0,875,85182,13684,458,1275,5393,0,146,1467,0,22424,0,986,1204,3902,345,0,0,376,1255,106,461,1506,397,1479,12018,10329,1348,7615,19292,7197,499,24022,1314,2219,17619,10287,0,0,1158,0,504,42534,7018,114372,35252,36082,71334,43038,114372,11894,3618,32313,50367,5562,5410,2219,0,2961,30,114372,59,21,16,45,7042,362,23973,1645,1658,17425,10802,0,828,1158,195,504,42075,6687,114352,34680,37094,71774,42579,114352,12054,3983,32749,49854,5230,5824,2259,0,2368,30,114352
263,Fazenda da Juta,19766,19766,63212,14589,15372,11387,116249,115682,330,28399,34813,63212,49310454,2495,780,2200,14370,40088,8754,0,0,63212,17981,2364,742,11328,0,584,1485,742,35226,0,532,2497,2827,1975,2612,0,742,606,642,1340,279,0,5238,19292,10574,1595,3203,15372,418,0,34946,287,6398,15406,7583,0,0,1662,0,0,49246,303,116249,42050,24954,67004,49246,116249,5081,10837,29908,47160,4500,5359,5006,0,8398,0,116249,54,29,16,0,365,0,35292,287,6398,14823,7396,0,0,1662,186,0,48969,303,115682,42342,24371,66713,48969,115682,5081,12255,27195,45865,5258,5245,6193,0,8590,0,115682
264,São Mateus,21428,21902,66948,9921,21738,15695,108178,109373,428,36058,30890,66948,70479006,3218,1053,3213,11305,30183,25460,0,0,66948,18003,1281,514,9057,0,0,716,0,29571,0,598,786,3960,514,0,0,0,941,319,4456,323,1028,2448,15372,18884,457,2397,21738,5963,0,37430,0,3343,16537,8562,0,0,789,0,1276,34278,0,108178,46736,25888,72625,35554,108178,4833,14751,27926,33747,7244,4217,3332,0,12129,0,108178,60,32,13,32,7226,0,35787,0,3343,17331,9270,0,0,851,0,1276,34287,0,109373,46357,27453,73810,35564,109373,5609,13076,28161,34743,6875,4217,3106,0,13586,0,109373
265,Cidade IV Centenário,14388,14388,44247,17994,15856,8886,99937,100188,333,21285,22962,44247,45747319,3180,1034,2000,12372,12440,14276,5160,0,44247,12874,1294,998,8135,753,306,1149,998,26508,0,1731,1340,7600,115,2913,0,830,2113,719,469,411,134,3362,21738,10813,2394,2649,15856,6053,324,21696,92,1750,13947,12369,0,2855,2627,303,0,37922,0,99937,29914,32101,62015,37922,99937,4397,7135,22378,48050,1509,5375,3544,0,7548,0,99937,56,21,11,0,6428,324,22278,0,1750,13947,11027,0,1815,2627,303,0,39691,0,100188,30779,29719,60498,39691,100188,4397,6992,23675,50544,1509,4961,182,0,7927,0,100188
266,Rio Claro,6094,6094,18759,4008,6405,2256,22129,21986,218,9234,9525,18759,15883178,2606,847,2708,4393,11293,3073,0,0,18759,10180,2812,1333,5896,303,0,1659,0,22181,0,1071,1627,3497,0,303,264,964,1729,1005,1063,0,232,4101,15856,3646,1230,1529,6405,621,0,4624,0,1123,3769,1799,0,0,2611,0,0,7581,0,22129,6369,8178,14547,7581,22129,1838,1591,7069,8761,759,465,1272,212,163,0,22129,58,39,15,0,850,0,4264,0,1123,3769,1358,0,83,2611,0,0,7929,0,21986,6237,7820,14057,7929,21986,1838,1623,6855,8925,788,455,1079,195,229,0,21986
267,Cidade Satélite,8159,8159,25209,9539,10250,5457,54660,54844,300,11328,13881,25209,28827097,3533,1144,2900,3368,13336,7621,135,748,25209,2894,760,201,3159,737,0,260,0,8011,0,360,1619,342,233,578,0,0,503,289,546,345,192,1397,6405,8622,449,1179,10250,2756,1126,11906,690,3285,9846,5496,0,0,275,275,222,18783,0,54660,19765,15891,35656,19005,54660,4508,3045,10622,21404,5177,1289,3463,1126,3764,263,54660,57,28,16,20,1612,1126,13604,690,3285,9846,5957,0,0,275,275,222,17953,0,54844,20319,16352,36670,18174,54844,4265,2950,13301,20065,3672,1433,5621,1126,2411,0,54844
268,Joaquim Nabuco,4976,5002,13975,2803,11067,5224,39785,39785,198,7294,6681,13975,46548942,9307,3331,6843,661,1574,4571,2666,4503,13975,5896,809,550,3386,135,0,583,116,11477,0,741,1560,1041,135,135,655,0,736,603,1859,752,621,1411,10250,9121,1509,437,11067,1017,45,9801,290,1747,13266,2378,213,1059,1148,301,748,7772,0,39785,12900,18365,31265,8520,39785,2345,3060,16233,9193,3895,1109,1515,36,1790,608,39785,52,29,12,20,1393,0,9646,0,1860,13464,2049,181,986,1148,301,748,8009,0,39785,12899,18129,31028,8757,39785,2308,2938,16513,8623,3993,1050,1575,36,1704,1044,39785
269,Vieira de Moraes,8526,8526,21459,2470,18354,10426,67022,66337,171,9280,12179,21459,70855909,8311,3302,7300,1118,2603,8591,4971,4176,21459,3091,529,129,859,1086,1601,608,0,7904,0,188,655,2426,70,0,427,206,301,1067,789,1911,140,2886,11067,15935,1331,1088,18354,3479,82,17998,748,988,18347,5935,832,886,1274,167,686,15601,0,67022,23295,27440,50736,16287,67022,4226,3265,24261,12964,6894,2338,6819,2319,2121,1816,67022,75,24,10,12,3670,82,17317,748,1152,18165,4867,859,1150,1274,167,970,15916,0,66337,22970,26481,49451,16886,66337,5693,3881,24172,11845,7213,2272,6233,2100,1848,1082,66337
270,Campo Belo,3668,3668,9294,1755,9812,4139,27524,27473,139,4227,5067,9294,23055309,6286,2481,5224,0,1610,5282,1236,1166,9294,4571,128,122,3446,245,1661,1089,105,11366,0,1610,919,1439,0,246,378,731,1161,1513,2315,1048,0,6993,18354,8601,413,798,9812,1713,0,5446,153,1174,8185,4066,114,465,946,0,0,5261,0,27524,8486,13776,22263,5261,27524,1379,1853,11133,6748,489,1279,1621,0,2007,1015,27524,61,31,11,0,2270,0,4941,153,847,8224,4280,114,380,946,0,0,5318,0,27473,8211,13943,22155,5318,27473,620,1545,12049,6529,476,1208,1670,0,2484,892,27473
271,Congonhas,0,0,0,139,13426,0,22796,22402,179,0,0,0,0,0,0,0,0,0,0,0,0,0,2444,479,143,887,382,839,48,0,5223,0,256,0,841,706,386,260,208,191,1670,608,1673,507,2506,9812,13426,0,0,13426,1906,0,4827,814,0,9286,160,569,1714,1580,0,0,1302,639,22796,7547,13948,21494,1302,22796,407,958,17084,874,477,159,352,0,2089,396,22796,99,55,19,0,2526,0,4506,540,0,9565,242,304,1357,1580,0,0,1145,639,22402,7571,13686,21258,1145,22402,566,1388,18305,429,48,64,217,0,1238,147,22402
272,Jardim Aeroporto,7134,7134,19506,3554,13028,5875,41280,41859,199,8739,10767,19506,32664685,4579,1675,4209,1338,6234,9377,2254,303,19506,0,0,0,0,0,0,0,0,0,669,38,0,875,135,8847,0,0,0,308,106,734,340,1374,13426,10994,683,1350,13028,2843,0,6664,38,2221,14782,4484,0,1396,404,0,114,8334,0,41280,11767,21065,32832,8448,41280,1460,2857,19159,10944,2567,647,1987,0,1178,481,41280,57,30,14,12,3201,0,7368,38,2602,14893,4349,0,1077,404,0,114,7814,0,41859,13209,20723,33932,7928,41859,1460,2096,21075,12090,2035,887,988,0,499,729,41859
273,Vila Santa Catarina,21766,21766,61476,7720,27078,16786,118441,119859,326,24209,37267,61476,93456674,4294,1520,3213,4850,30546,19490,4292,2299,61476,3950,613,303,2439,538,648,103,0,8593,0,969,209,1518,830,1028,0,371,1027,125,1381,1736,0,3835,13028,15388,5692,5998,27078,8661,0,24887,0,5858,27815,14683,0,552,1603,704,0,33679,0,118441,39405,45357,84762,33679,118441,14113,7545,31826,43971,3787,4342,6698,1203,4232,723,118441,49,20,13,0,8752,32,25695,0,7292,28433,12275,287,265,1603,704,0,34084,436,119859,41771,44004,85774,34084,119859,14219,8260,30826,41612,6244,3913,7686,1203,5172,723,119859
274,Jabaquara,13238,13238,35826,11567,34389,12529,135926,134492,289,16017,19809,35826,69062057,5217,1928,3988,1089,13589,12819,6902,1426,35826,12050,1751,638,13847,1776,258,1290,0,31610,0,2453,2736,3214,1707,1340,323,712,952,1852,882,3023,693,7191,27078,30399,1928,2063,34389,22411,0,24106,10,3608,26604,14441,819,1211,27,0,284,42405,0,135926,50135,43101,93236,42689,135926,3937,6445,42594,34456,7811,6617,12726,1308,15473,4557,135926,59,20,13,25,25192,0,19720,10,3501,25808,15422,819,1451,27,0,0,42544,0,134492,48422,43527,91949,42544,134492,3937,6144,43938,31807,7008,5372,12079,1962,19926,2320,134492
275,Cidade Vargas,14450,14450,38239,12671,24388,11997,113179,112412,347,20424,17815,38239,85704103,5931,2241,4949,1807,6486,20290,4770,4885,38239,6661,2465,1130,5665,173,922,486,173,17674,0,2128,1723,2934,656,2941,7257,1957,878,5155,1193,1953,92,5524,34389,20096,3434,858,24388,22726,0,16759,159,2904,20586,10285,0,2201,1841,0,0,35718,0,113179,42548,34913,77461,35718,113179,7804,4200,37161,27947,3322,2923,12022,30,14685,3086,113179,50,24,12,0,20972,0,15438,159,3307,21043,11078,0,857,2160,0,0,37123,274,112412,39876,35413,75289,37123,112412,7529,4070,32488,29446,3854,2484,13117,30,13972,5421,112412
276,Jardim Bom Clima,29889,30453,92605,12335,23391,19581,159942,160341,446,46404,46201,92605,113760853,3736,1228,3213,13124,39988,34553,2747,2192,92605,10364,2421,2530,3163,1792,2078,149,0,22497,0,430,5755,2211,478,242,1748,502,3176,359,2350,1501,281,5354,24388,9997,4143,9251,23391,22199,0,26262,0,6499,34156,23167,0,195,4053,389,0,43022,0,159942,54960,61960,116920,43022,159942,11964,4745,46136,72945,8184,5563,5956,849,3502,98,159942,45,20,12,0,15715,0,31194,0,6684,34156,23944,0,195,4654,389,0,43410,0,160341,53592,63338,116931,43410,160341,11964,4745,41281,75587,8190,5523,8699,849,3502,0,160341
277,Cupecê,20573,20785,59452,18697,26289,18642,124162,124376,417,27186,32266,59452,80617655,3879,1356,3044,11394,21745,18978,6982,352,59452,23972,5799,2123,14335,0,1280,3476,0,50983,172,3029,1861,2662,0,774,0,346,349,1056,3447,1415,242,8038,23391,18555,3554,4180,26289,4198,938,24953,0,4954,27711,15125,0,657,1790,673,67,43097,0,124162,35042,45956,80998,43164,124162,6653,9006,32210,49423,8022,1661,2754,395,13819,220,124162,47,21,11,15,4669,496,24673,0,4954,27870,14730,0,0,1790,673,67,44454,0,124376,34791,45063,79855,44521,124376,6830,9227,32787,48864,8008,1407,1636,714,14683,220,124376
278,Jardim Miriam,44813,44993,138839,22532,21666,19502,209678,209824,514,66915,71924,138839,120129463,2670,865,2500,35766,74885,26869,1320,0,138839,17164,1558,0,7742,408,818,2038,0,29729,0,1895,1631,4906,107,216,431,1216,1727,620,2865,2096,508,8072,26289,10881,2609,8176,21666,11986,308,44460,0,12408,23274,14770,0,1032,6855,1111,519,92953,0,209678,69162,47043,116205,93473,209678,12836,14342,50258,90583,12656,5132,10258,1121,12242,250,209678,55,24,12,10,10959,0,48475,0,12629,23239,13504,0,1427,6855,1111,1023,90601,0,209824,72062,46137,118199,91625,209824,11363,12908,47332,94741,13484,3637,12553,726,12119,961,209824
279,Vila Missionária,26669,27460,83502,8626,17839,7936,102021,101768,295,32772,50730,83502,63337345,2307,759,2202,24173,53597,5733,0,0,83502,37269,5244,1964,14207,779,152,3180,0,62796,0,4304,526,5735,792,367,0,1660,791,588,469,751,488,5193,21666,10841,2978,4020,17839,4625,1691,27176,0,10368,7494,2345,0,516,2422,363,0,44160,862,102021,43860,14002,57862,44160,102021,3753,11422,26751,39702,2750,5433,7163,1485,3562,0,102021,48,38,11,0,4924,1691,26397,0,10680,7004,2034,0,121,2422,363,0,45270,862,101768,43692,12806,56498,45270,101768,3753,11422,26986,39615,2785,5433,6789,1422,3562,0,101768
280,Jurubatuba,7300,7300,20114,11245,28167,6565,78495,78829,483,7045,13069,20114,40064239,5488,1992,4443,470,5402,9560,3134,1548,20114,20068,463,1161,10377,264,0,2643,0,34977,0,1519,531,6339,1071,795,0,899,0,0,745,659,0,5281,17839,25191,2144,832,28167,6163,5129,26903,1358,976,18089,3585,0,265,2310,122,339,13254,0,78495,40530,24371,64901,13593,78495,8579,5782,27067,24667,4297,1860,1341,993,2696,1211,78495,64,32,17,53,5865,5545,26095,1626,976,18146,4243,0,143,2310,122,339,13418,0,78829,40106,24965,65071,13757,78829,9527,6418,28488,22277,4297,1860,1332,1056,2808,765,78829
281,Vila São Pedro,14777,14960,41022,9524,19470,15750,85019,85232,313,16599,24423,41022,104021579,6953,2536,5224,1588,5522,19045,6836,8031,41022,5270,126,271,2654,0,1298,319,0,9939,0,0,9568,5172,197,0,1019,390,2131,219,511,3191,366,5404,28167,15377,2912,1182,19470,2586,2483,19581,520,5637,22926,10556,344,1720,1411,1110,0,16146,0,85019,30807,38066,68873,16146,85019,2945,7601,24134,24535,6351,4143,5063,790,7376,2081,85019,57,23,11,0,2228,2439,20758,520,6292,22578,11301,723,1341,1411,1110,0,14532,0,85232,32237,38464,70700,14532,85232,2762,8841,25281,23287,6776,4214,3851,1185,6906,2129,85232
282,Campo Grande,11639,11749,33790,10041,22802,9296,86888,86725,272,15333,18457,33790,41280190,3513,1222,3200,6771,10919,14474,1376,250,33790,8323,956,1568,5273,615,1115,1337,139,19325,0,527,1918,4508,584,140,38,237,128,997,1214,2811,739,5630,19470,18369,1398,3036,22802,4839,420,20028,0,2002,19965,6849,279,1620,5005,1232,0,23788,862,86888,27289,35811,63100,23788,86888,5311,9439,25084,19043,14011,5489,3071,0,4382,1059,86888,66,28,9,0,3540,61,21249,0,2002,20614,6579,279,1372,5005,1232,0,23930,862,86725,26852,35943,62795,23930,86725,5030,9617,24443,18423,14051,5506,4962,0,3407,1285,86725
283,Vila Sabará,3847,3847,10684,673,3689,2840,19202,19204,235,4973,5711,10684,15837371,4117,1482,4000,1822,2731,5121,774,236,10684,7919,1285,177,3844,177,979,2561,0,16941,0,2495,888,7887,81,63,0,668,433,1947,1140,1582,694,4925,22802,2945,316,428,3689,1041,1016,5070,0,322,3699,997,59,988,303,0,132,5386,189,19202,7448,6236,13684,5518,19202,1391,1546,7875,4575,184,1443,1210,317,582,79,19202,69,29,11,10,960,929,5835,0,322,3877,948,59,119,303,0,132,5530,189,19204,8046,5496,13542,5662,19204,1391,1656,7745,4550,184,1413,1286,317,582,79,19204
284,Mar Paulista,16660,16660,51001,14011,13017,9405,81974,82308,549,25362,25639,51001,54448823,3268,1068,2800,9847,26679,12364,826,1285,51001,3010,461,242,1091,0,43,424,43,5315,0,43,387,760,43,149,0,397,353,0,177,4,0,1375,3689,8850,484,3683,13017,1880,2918,22900,667,9178,14186,3355,0,348,707,0,0,25836,0,81974,37543,18595,56138,25836,81974,4297,13560,20898,35833,1419,681,2215,384,2635,51,81974,41,33,9,0,2177,2918,22663,667,8867,14106,3708,0,348,707,0,0,26147,0,82308,37292,18868,56161,26147,82308,4214,13560,20488,35948,1395,681,2551,384,3004,83,82308
285,Pedreira,34131,34131,106280,19409,27386,12170,169615,170041,1303,51541,54739,106280,85807284,2514,807,2202,21027,59816,22903,2534,0,106280,13231,978,312,6798,687,376,1374,531,24287,0,1093,1526,3171,0,1132,61,484,889,263,2108,321,84,1885,13017,19388,2312,5686,27386,5990,2129,30876,0,11095,22561,14680,0,1282,6125,0,0,74876,0,169615,50090,44649,94739,74876,169615,15396,18154,39121,62768,10339,8709,7514,467,7147,0,169615,57,23,13,0,5627,3197,28610,930,11095,22977,15558,0,1282,6125,0,0,74640,0,170041,49459,45942,95401,74640,170041,15346,16877,38480,65157,10339,9199,7078,467,7097,0,170041
286,Vila Socorro,3296,3353,9119,4957,19341,2167,50861,50509,293,4145,4974,9119,14017248,4181,1537,3778,800,2473,5145,0,700,9119,26094,4514,1131,13504,1734,432,2353,412,50174,0,1564,2408,5909,1020,5808,0,1543,3334,1090,1853,349,0,2508,27386,19157,93,92,19341,3123,1965,18580,139,1890,10989,3782,0,555,4461,0,379,4999,0,50861,25696,19787,45483,5378,50861,8001,7468,9477,12294,7576,842,2089,0,2574,542,50861,63,27,19,10,2626,1965,19611,139,1153,10497,4281,0,555,4461,0,379,4842,0,50509,25494,19795,45288,5221,50509,8262,7177,11232,10717,6200,1008,1828,0,3545,542,50509
287,Parque Interlagos,9172,9357,27277,7657,14732,8770,70743,69619,936,12978,14299,27277,50855411,5435,1864,3580,2818,10877,9783,669,3131,27277,3321,40,0,470,0,203,151,0,4185,0,415,6370,4713,571,2672,726,168,469,680,518,92,53,1893,19341,13158,765,809,14732,1074,1558,16455,540,2397,19397,7980,238,161,1343,0,2683,16917,0,70743,22024,29120,51144,19600,70743,6406,6748,16578,16386,8292,1811,6931,0,6149,1442,70743,57,23,16,19,1377,1115,13690,1080,3090,19397,8040,238,598,1343,0,2683,16968,0,69619,20352,29616,49968,19651,69619,6643,6757,15370,15915,8456,2056,6818,0,6344,1261,69619
288,Jardim Represa,7074,7074,21830,13030,8850,2541,49835,50035,784,10727,11103,21830,21106098,2984,967,2884,5222,11335,4702,118,453,21830,5931,559,928,2970,790,104,351,104,11737,0,422,2538,4114,0,207,0,104,800,356,2157,358,743,2932,14732,6400,780,1670,8850,969,1148,20515,0,4429,6073,2338,0,77,1897,104,245,12041,0,49835,27061,10489,37550,12285,49835,783,1412,13070,27267,588,2205,1783,0,2284,444,49835,48,32,15,20,1026,1016,20120,0,4372,6440,2338,0,77,1894,0,245,12508,0,50035,26534,10749,37283,12753,50035,783,581,13239,28287,828,2667,1195,0,1995,461,50035
289,Rio Bonito,15255,15255,47549,12315,21065,10137,94814,95685,496,21826,25723,47549,59684601,3912,1255,3570,10795,13718,17247,5788,0,47549,3776,915,1333,2785,68,247,155,0,9280,0,980,0,255,0,500,0,68,786,1430,2181,411,92,2146,8850,16472,1624,2969,21065,3389,6409,21560,1080,7951,15213,4697,82,687,824,0,796,31488,639,94814,40388,22142,62530,32284,94814,4575,4598,30187,34675,5199,2685,2073,0,8060,2763,94814,52,36,12,25,2544,6905,22892,540,7951,14745,5906,0,1991,824,0,796,29951,639,95685,40832,24106,64938,30747,95685,5288,7201,31267,33625,4961,2414,884,0,8985,1061,95685
290,SESC Interlagos,17283,17283,56065,8959,9715,7440,89885,90077,736,27046,29019,56065,50471812,2920,900,2733,6245,43316,6504,0,0,56065,12913,1789,0,7331,0,362,0,476,22871,0,577,2594,3175,1300,729,194,1868,175,844,2883,2430,302,3994,21065,4458,2678,2579,9715,4244,6936,17772,0,5764,8344,3412,0,1305,1232,0,0,38359,2516,89885,34716,16809,51525,38359,89885,4324,4688,29049,37019,1912,3970,6005,543,2375,0,89885,60,28,14,0,4618,7299,16836,0,5891,8113,2735,0,0,1232,0,0,40837,2516,90077,34644,14596,49240,40837,90077,3450,2490,28729,38946,1912,3970,6360,543,2375,1302,90077
291,Jardim Presidente,24259,24259,75809,20928,18070,16338,133199,132646,763,38290,37519,75809,84328968,3476,1112,2937,11724,34758,22847,4122,2358,75809,12127,1011,1314,5981,555,204,2240,0,23432,0,1026,0,581,0,408,0,1825,2129,0,798,204,0,2744,9715,10352,2793,4926,18070,4817,9954,24799,785,11915,27124,16997,0,380,1555,330,0,34542,0,133199,52271,46386,98657,34542,133199,8688,8707,34109,51375,10342,1152,15044,0,3455,326,133199,54,26,15,0,4817,11377,24517,785,11747,25887,16830,0,0,1555,330,0,34800,0,132646,53243,44603,97846,34800,132646,7591,8206,33464,51773,10584,945,16601,0,3483,0,132646
292,Vila Natal,20493,20493,65633,13900,10647,9126,100460,98255,415,31090,34543,65633,52519630,2563,800,2000,23784,15728,25236,886,0,65633,20514,2891,1707,11651,0,0,1380,82,38225,0,287,2490,3353,2105,3851,0,1247,451,82,932,1244,13,2013,18070,7507,885,2255,10647,6143,2948,17516,0,8010,17638,8536,0,1003,4088,0,0,34578,0,100460,34618,31264,65882,34578,100460,3070,12506,24895,43790,3995,4105,4667,1203,2229,0,100460,64,23,10,0,4537,3660,15255,0,8179,16951,8852,0,2848,3771,0,0,34201,0,98255,31631,32423,64054,34201,98255,3090,11718,22100,46198,4001,3358,4358,1203,2229,0,98255
293,Grajaú,27744,28086,86031,20206,27179,16369,146103,145393,541,39607,46424,86031,79095303,2816,919,2202,27503,42983,9711,1915,3919,86031,17526,1164,206,6184,606,0,885,0,26570,0,885,1800,2934,0,812,0,606,279,147,2626,0,0,558,10647,20753,3066,3361,27179,7469,9837,37005,0,14922,7447,10371,295,0,3467,0,1710,51062,2516,146103,69233,24097,93330,52773,146103,2890,12059,43301,55050,3083,9653,8448,1352,9030,1236,146103,61,30,16,30,8040,10029,33485,0,14922,8596,10138,295,2498,3467,0,1710,49696,2516,145393,66476,27511,93987,51406,145393,2762,12168,37679,55645,4425,9625,10908,1352,9268,1561,145393
294,Cocaia,35333,35333,113477,27666,15060,8700,170092,170081,1093,52155,61322,113477,81756371,2314,720,2202,27737,81284,4456,0,0,113477,22746,2381,1620,11929,0,766,2573,0,42016,0,638,0,9602,0,4199,0,2689,265,2228,2849,1597,0,3114,27179,8895,4388,1776,15060,6875,16259,33484,1860,14315,7816,1346,0,0,1939,0,0,84813,1386,170092,72792,12487,85279,84813,170092,3709,16943,37814,93115,7696,2589,6118,542,1567,0,170092,64,47,18,0,6903,15271,35253,930,13622,7816,1346,0,0,1939,802,0,84813,1386,170081,71979,13289,85268,84813,170081,3706,16354,38128,92924,7696,2192,7139,542,1402,0,170081
295,Belmira Marin,35636,36044,114180,26972,19585,22070,169462,169379,1237,55436,58744,114180,103827502,2881,909,2700,30378,56297,25656,1850,0,114180,35223,1425,0,8602,0,0,0,0,45249,0,95,412,4419,0,478,0,412,718,961,1743,74,0,5748,15060,5738,7326,6520,19585,6361,10215,43374,0,13320,17229,13455,0,555,5058,823,1778,57294,0,169462,73271,37120,110390,59072,169462,5451,9549,37647,77279,10656,4687,17102,895,6197,0,169462,65,29,14,5,5283,10898,45543,0,13320,17229,12900,0,0,5058,823,1778,56546,0,169379,75044,36010,111054,58324,169379,5451,9459,34095,80528,11087,5476,16946,895,5442,0,169379
296,Bororé,1285,1285,4148,2107,1597,254,9045,8973,5993,1998,2150,4148,2629462,2046,634,1872,2061,2087,0,0,0,4148,27945,1757,1107,17007,0,0,1107,0,48923,0,2249,1597,3960,77,602,0,2864,1201,0,2334,0,0,4701,19585,1034,381,182,1597,219,37,2398,0,2355,1872,893,0,0,142,0,742,386,0,9045,5010,2908,7917,1128,9045,743,98,1436,3712,304,72,2647,0,33,0,9045,60,34,12,20,219,37,1503,0,2355,1872,893,0,0,142,0,742,1209,0,8973,4114,2908,7022,1951,8973,758,66,1453,3640,304,72,2647,0,33,0,8973
297,Jaceguava,951,951,2907,357,798,1150,4098,4333,3513,1376,1531,2907,4401336,4628,1514,3000,479,1003,972,100,353,2907,704,0,0,590,0,0,0,0,1295,131,823,0,111,0,0,0,112,0,27,239,0,0,154,1597,522,34,243,798,25,240,1066,308,386,1040,366,0,0,0,0,130,536,0,4098,2025,1406,3432,667,4098,485,344,1155,1642,274,48,53,34,62,0,4098,77,29,12,20,25,109,1182,308,316,1290,436,0,0,0,0,130,536,0,4333,1940,1727,3666,667,4333,485,626,991,1246,374,123,363,34,91,0,4333
298,Parelheiros,44913,45387,145648,42621,27668,16043,220424,220190,11667,67684,77964,145648,105964135,2335,728,2086,55315,70909,14680,4744,0,145648,609,40,50,277,115,66,101,0,1256,40,67,194,282,9,0,0,0,85,0,51,22,0,50,798,15447,3570,8651,27668,4233,13654,49384,565,26289,15721,14578,146,1072,2499,551,2073,89038,623,220424,94125,35188,129313,91111,220424,6532,18642,52590,105141,6745,13729,6748,907,9293,94,220424,70,32,14,25,3932,14332,49508,565,26289,16496,13897,0,939,2197,301,2073,89038,623,220190,94626,34453,129079,91111,220190,7083,18525,48833,108305,7056,13551,5885,907,9951,94,220190
299,Marsilac,2621,2621,8363,882,2186,1672,10429,10131,20796,3938,4425,8363,6803581,2596,814,2000,3060,3581,1133,589,0,8363,37137,2237,486,13843,221,0,3511,680,58116,471,5220,507,5831,244,0,0,1057,3873,2279,2155,28,90,5915,27668,1626,0,560,2186,474,326,4141,0,884,1583,398,0,0,193,0,0,2431,0,10429,5825,2173,7998,2431,10429,817,1635,1903,3616,0,979,686,0,793,0,10429,91,38,7,0,386,326,3548,0,884,1583,398,146,132,193,104,0,2431,0,10131,5144,2556,7700,2431,10131,817,1635,1789,3582,371,1013,387,0,536,0,10131
300,Granja Julieta,13227,13439,34905,35867,101042,14757,268798,270427,617,15297,19608,34905,114325555,8507,3275,6143,556,5114,14894,7416,6924,34905,2036,326,78,964,0,0,349,0,3753,0,326,69,541,0,78,0,0,0,28,766,0,221,156,2186,98525,1504,1014,101042,27511,20394,55861,842,3968,67670,20232,1842,2265,5192,458,1290,60739,533,268798,108576,98192,206768,62030,268798,14855,20169,110679,53966,15883,6226,10698,1893,16317,18112,268798,71,31,12,25,25251,24281,53876,842,3750,68360,22181,1762,2057,5821,708,1488,59517,533,270427,108000,101421,209421,61006,270427,13759,23066,118077,49347,15212,6213,9974,2003,14591,18184,270427
301,Chácara Flora,4266,4266,12483,4648,18234,6048,50386,49919,452,6091,6392,12483,41141272,9644,3296,7423,338,656,5115,2835,3539,12483,11064,1240,0,2687,2518,1007,1705,0,20221,0,2363,7555,14620,1005,2627,6144,2746,4848,4307,5206,19851,817,28954,101042,15822,1125,1287,18234,4129,364,14578,0,2470,14830,6738,458,1615,695,0,79,4431,0,50386,21541,24335,45876,4510,50386,991,4044,21358,8742,1216,6993,3323,0,2824,895,50386,70,28,11,30,3857,364,15094,0,1880,14364,7098,79,1979,695,0,79,4431,0,49919,21194,24215,45409,4510,49919,1083,4238,20707,9178,1216,6221,3332,0,2871,1074,49919
302,Santo Amaro,5985,5985,16387,19234,29702,6176,119538,120132,257,7613,8774,16387,53180250,8886,3245,8047,582,2996,3959,6017,2832,16387,2330,319,324,1907,185,921,254,0,6241,69,297,360,2054,417,160,866,464,547,1037,555,3483,0,7925,18234,27632,895,1174,29702,16986,2456,47155,749,2031,22536,8533,515,389,1423,87,362,16315,0,119538,69378,33482,102860,16677,119538,2462,11574,31950,27894,15597,12557,5440,544,9287,2233,119538,67,34,11,50,15751,1435,46773,749,2185,22435,9790,515,338,1423,87,362,18289,0,120132,66893,34587,101481,18651,120132,2335,11789,32018,26691,14242,16408,4176,325,10208,1941,120132
