zona,nomeZona,domicilios,familias,populacao,matriEscolar,empregos,autoParticular,viagProduz,viagAtraid,areaZona,popMasc,popFem,popTotal,renTotalZona,renMedFam,renPerCap,renMedianFam,rendF1,rendF2,rendF3,rendF4,rendF5,rendTotal,res_assCom,res_assSem,res_funPublico,res_autonomo,res_empregador,res_profLiberal,res_negFamiliar,res_trabFamiliar,res_total,emp_agro,emp_constCivil,emp_indus,emp_comercio,emp_transCarg,emp_transPass,emp_financeiro,emp_servPessoais,emp_alimenta,emp_saude,emp_educa,emp_especializ,emp_admPubli,emp_outros,emp_total,emp_foraRes,emp_dentrRes,emp_semEnd,emp_total,vp_metro,vp_trem,vp_bus,vp_fretado,vp_escolar,vp_dirigindoAuto,vp_passAuto,vp_taxiCom,vp_taxiNCom,vp_dirigindoMoto,vp_passMoto,vp_bike,vp_pe,vp_outros,vp_total,vt_coletivo,vt_individual,vt_motorizado,vt_naoMotorizado,vt_total,mo_traIndus,mo_trabCome,mo_trabServ,mo_educacao,mo_compras,mo_saude,mo_lazer,mo_procEmp,mo_assunPesso,mo_refeicao,mo_total,tmv_coletivo,tmv_individual,tmv_pe,tmv_bike,vtra_metro,vtra_trem,vtra_bus,vtra_fretado,vtra_escolar,vtra_dirigAuto,vtra_passAuto,vtra_taxiCon,vtra_taxiNCon,vtra_dirigMoto,vtra_passMoto,vtra_bike,vtra_pe,vtra_outros,vtra_total,vtra_coletivo,vtra_individual,vtra_motorizado,vtra_naoMotorizado,vtra_total,vtra_trabIndus,vtra_trabCome,vtra_trabServ,vtra_educacao,vtra_compras,vtra_saude,vtra_lazer,vtra_procEmpr,vtra_assunPesso,vtra_refeicao,vtra_total
26,Bexiga,6375,6494,14281,8564,13420,2564,54508,54681,52,6908,7373,14281,28488739,4387,1995,4209,1452,4521,6563,1310,435,14281,3920,1036,1274,1937,602,233,0,102,9104,0,212,323,1753,0,201,898,513,1462,2557,539,2769,156,2037,13420,11831,940,649,13420,11993,0,7135,0,1156,10015,6184,371,287,90,0,269,17009,0,54508,20283,16947,37230,17277,54508,3641,2970,16943,17326,1375,4615,3092,0,3759,786,54508,64,46,12,14,11855,0,7038,0,1156,10335,6305,371,393,90,0,269,16868,0,54681,20049,17494,37543,17137,54681,3641,3574,18728,16615,1522,4615,2916,0,2220,848,54681
27,Bela Vista,7636,7636,17536,12922,44855,6620,117797,120315,94,8307,9229,17536,59604484,7806,3399,6000,173,2083,8751,2743,3786,17536,3987,228,1054,1407,555,2436,673,0,10339,0,156,640,4032,694,165,2774,837,3532,15119,2572,4659,380,9296,44855,42854,702,1300,44855,37993,821,17412,0,685,18148,7415,1156,2708,1072,31,599,29757,0,117797,56911,30530,87441,30356,117797,2264,6402,48777,22275,3728,16114,6251,230,6574,5183,117797,75,32,13,26,39193,821,18358,0,473,18228,7137,2455,2911,1490,31,599,28618,0,120315,58845,32252,91097,29217,120315,2273,6635,56332,19462,3614,17209,4768,318,4626,5079,120315
28,São Carlos do Pinhal,4411,4411,9068,8922,28433,2738,76171,76772,31,3788,5280,9068,23630676,5357,2606,4689,238,1381,6246,698,505,9068,2558,387,268,1032,90,1118,90,0,5544,0,430,588,1884,430,90,2314,325,763,2732,1924,7841,401,8710,28433,25584,792,2056,28433,22755,2197,11724,0,731,11653,3276,1615,4392,745,0,302,16783,0,76171,37406,21680,59086,17085,76171,3278,3549,37288,13197,1318,4661,3220,1152,4675,3834,76171,64,54,11,26,25221,1054,12493,0,731,11653,4326,1911,1141,745,0,247,17251,0,76772,39498,19776,59274,17498,76772,3526,2912,40061,11040,1435,6442,2827,1079,3600,3851,76772
29,Masp,7089,7089,13251,4904,45411,2916,94938,94788,57,6527,6724,13251,42453060,5989,3204,4949,854,2448,6739,1998,1212,13251,4248,528,899,837,20,1010,297,0,7839,0,1963,569,5312,0,282,5658,495,1705,14397,1139,5152,3540,5200,45411,43538,1137,736,45411,30061,0,19022,0,235,13233,2562,1093,3455,2504,0,359,22005,408,94938,49319,23255,72573,22365,94938,2303,6855,46822,11250,2737,9441,5092,83,4433,5920,94938,73,38,10,32,30261,937,18890,0,391,13160,1941,812,3441,2504,0,212,22180,60,94788,50478,21918,72397,22391,94788,2361,7148,51058,9109,2453,10742,4534,83,3727,3573,94788
30,Higienópolis,9038,9197,19455,3796,18583,7884,63115,62730,68,7713,11742,19455,85293762,9274,4384,6843,197,1704,7931,3897,5727,19455,5091,717,677,948,807,2839,751,114,11944,0,310,165,2240,0,57,311,603,635,2364,915,3452,106,7425,18583,15627,2313,643,18583,9708,308,7668,2716,298,12868,3754,1041,2046,1433,0,1457,19816,0,63115,20698,21143,41841,21274,63115,1370,3677,23911,12067,3623,5042,6712,55,4432,2225,63115,84,33,13,26,11641,377,5992,2663,403,12897,3884,921,2021,1433,0,1457,19040,0,62730,21075,21157,42233,20498,62730,1345,3546,26715,10085,3028,6442,6670,55,3285,1559,62730
31,Vila Buarque,11259,11259,20034,37088,27102,5014,119032,119388,90,9619,10415,20034,50023393,4443,2497,3800,619,8063,9302,1722,328,20034,5254,494,1354,1818,867,2048,307,86,12230,0,698,51,1174,621,243,193,956,1145,6020,4333,3904,3018,4746,27102,24541,1713,849,27102,37022,804,22508,791,1364,15599,6353,699,2706,1584,0,208,29020,371,119032,62490,27313,89803,29229,119032,795,2244,42254,43371,3738,10271,4619,56,7703,3981,119032,62,33,11,28,36170,395,24276,791,1092,16292,5377,1210,2834,1146,0,264,29171,371,119388,62723,27230,89953,29435,119388,1051,2041,40089,45933,3301,12044,5444,56,5734,3696,119388
32,Consolação,4590,4590,8556,15091,48237,2587,112133,112552,57,4417,4139,8556,26142655,5696,3055,4949,263,2836,3347,1497,613,8556,2288,354,529,565,105,1057,38,0,4936,0,582,2673,6551,44,1635,5606,1232,4798,3174,1018,9719,2122,9082,48237,47206,791,240,48237,41750,767,19608,0,730,13433,2218,594,630,514,0,287,31604,0,112133,62855,17388,80243,31891,112133,4288,8628,53604,19870,1384,3249,5859,36,4363,10851,112133,69,37,11,29,41986,1638,17480,0,572,12353,3169,389,633,514,0,287,33532,0,112552,61675,17057,78733,33819,112552,5091,7900,53634,18381,432,4948,3999,90,4467,13610,112552
33,Pacaembu,587,587,1839,541,3126,865,6929,6927,90,858,981,1839,6887275,11733,3745,11000,27,65,376,350,1021,1839,533,33,102,180,168,149,0,0,1164,0,464,39,64,0,0,78,0,0,79,189,311,0,1903,3126,2808,272,46,3126,1552,324,889,0,140,1078,178,257,349,673,0,53,1437,0,6929,2904,2535,5439,1490,6929,71,160,3247,1831,133,557,241,272,197,220,6929,88,28,17,30,1526,324,857,0,134,1078,223,20,506,673,0,53,1532,0,6927,2841,2501,5341,1585,6927,87,160,3561,1802,90,526,108,272,305,15,6927
34,FAAP,3191,3191,7556,5443,9965,3655,31857,32883,74,3220,4336,7556,40305292,12631,5334,9000,62,575,1548,1992,3379,7556,1413,222,191,651,543,1148,299,34,4501,0,21,34,414,0,34,39,34,19,3069,1285,1178,0,3838,9965,8777,894,293,9965,4004,273,2676,0,444,10015,5764,512,868,52,0,155,7095,0,31857,7396,17211,24607,7250,31857,630,323,13507,8732,939,4230,1748,0,1162,587,31857,75,34,14,27,5162,384,2434,53,195,10333,6215,614,785,50,0,155,6503,0,32883,8228,17997,26225,6658,32883,630,293,14134,8946,779,4170,1748,218,1377,587,32883
35,Santa Cecília,19105,19105,40032,8462,35793,6481,114335,112257,144,18275,21757,40032,74485828,3899,1861,3044,11124,15099,9122,4579,108,40032,11456,1185,1681,5667,0,513,0,0,20502,0,787,373,4197,257,367,4303,1549,3094,1161,1603,2341,3045,12716,35793,31335,1776,2683,35793,26169,2396,18061,0,384,16534,4395,983,398,69,0,394,43699,852,114335,47010,23231,70242,44093,114335,3716,5519,57592,22094,4785,3221,7578,676,5795,3360,114335,62,35,15,21,25436,2271,18622,0,652,14476,4414,983,747,69,0,394,43342,852,112257,46981,21541,68522,43736,112257,3988,6122,50466,23158,4289,3319,9642,676,7146,3451,112257
